Predicted,Actual
0.35536654597797646,0.376
0.37764508926206297,0.401
0.4098371546782819,0.431
0.39189245777344156,0.349
0.3534312214476122,0.303
0.3444007205851143,0.355
0.3591115772090994,0.39
0.3628034972649538,0.379
0.33037068023195604,0.271
0.38993610510459387,0.381
0.3890624542291923,0.398
0.3572374819492046,0.25
0.3822684116287846,0.382
0.386927180576518,0.462
0.22327830294277887,0.273
0.37322887801575044,0.375
0.3717583335483978,0.362
0.3948699692369405,0.387
0.35754586111668124,0.377
0.37513543778432823,0.413
