Predicted,Actual
0.3558256972412639,0.376
0.380539929704299,0.401
0.4098928922155661,0.431
0.3673740668479971,0.349
0.3650150441155041,0.303
0.34971823732794627,0.355
0.38500405649104635,0.39
0.33681946122383477,0.379
0.3336631172916613,0.271
0.3796566127672179,0.381
0.36259960957117837,0.398
0.3234712357444145,0.25
0.42461151822766,0.382
0.4347957574758833,0.462
0.352132692503225,0.273
0.39401161099503657,0.375
0.39196082910687435,0.362
0.337236710974157,0.387
0.3509655954569189,0.377
0.3835624388399809,0.413
