Predicted,Actual
0.36624000949532076,0.376
0.3842794681831777,0.401
0.3823016871296541,0.431
0.3741475961888994,0.349
0.3556184070337293,0.303
0.31797492555967355,0.355
0.3765614668665618,0.39
0.3457013238665601,0.379
0.361641140173518,0.271
0.39629115459821146,0.381
0.3854464338946749,0.398
0.35205755675815975,0.25
0.3932902710989376,0.382
0.39460530736300925,0.462
0.31035252507316236,0.273
0.35530482766444976,0.375
0.3789449130477835,0.362
0.394685133407814,0.387
0.32593145078312535,0.377
0.38642047522968753,0.413
