Predicted,Actual
0.32782666666666666,0.376
0.3907533333333333,0.401
0.3456666666666666,0.431
0.38615999999999995,0.349
0.36678666666666665,0.303
0.34403999999999996,0.355
0.36766,0.39
0.38294666666666666,0.379
0.30376000000000014,0.271
0.37298666666666663,0.381
0.38615999999999995,0.398
0.32579333333333327,0.25
0.32200666666666666,0.382
0.37972666666666666,0.462
0.31550000000000006,0.273
0.32200666666666666,0.375
0.36649333333333334,0.362
0.39071333333333336,0.387
0.34647999999999995,0.377
0.38786000000000004,0.413
