Predicted,Actual
0.3578641956699835,0.376
0.35909517516837175,0.401
0.36211544352633807,0.431
0.36202588890845416,0.349
0.36778593403969134,0.303
0.3515463189816718,0.355
0.3626764303282422,0.39
0.3539071488855016,0.379
0.35688367516590846,0.271
0.37505462645896054,0.381
0.3633834485280883,0.398
0.3351779008288484,0.25
0.37952571336121066,0.382
0.41512730266218806,0.462
0.3606035143177538,0.273
0.37517659438627354,0.375
0.3626813751590353,0.362
0.3669224558072256,0.387
0.3588154771964533,0.377
0.3534529337598667,0.413
