Predicted,Actual
0.3539733333333333,0.376
0.36690666666666666,0.401
0.3847066666666667,0.431
0.3821466666666667,0.349
0.35656,0.303
0.2761933333333335,0.355
0.39261999999999997,0.39
0.35086666666666666,0.379
0.32286,0.271
0.3845799999999999,0.381
0.38332666666666665,0.398
0.31607999999999997,0.25
0.38792000000000004,0.382
0.3831466666666667,0.462
0.29063333333333335,0.273
0.38161333333333336,0.375
0.3930133333333333,0.362
0.39271999999999996,0.387
0.32955999999999996,0.377
0.40481333333333336,0.413
