Predicted,Actual
0.3440773289528417,0.376
0.3919146040190138,0.401
0.3855984423840413,0.431
0.38173817786394215,0.349
0.35473429116722593,0.303
0.3500725789107866,0.355
0.3836337093101201,0.39
0.3746065470899822,0.379
0.3029261555401988,0.271
0.38507820656815656,0.381
0.3798022712852509,0.398
0.29214812133213874,0.25
0.3770244271978076,0.382
0.3961348480783527,0.462
0.26795533397094257,0.273
0.382569502235961,0.375
0.39606197730320614,0.362
0.39346267823877656,0.387
0.3604518553989368,0.377
0.3928414704951326,0.413
