Predicted,Actual
0.35574923964601557,0.376
0.36276016075988804,0.401
0.368925762923318,0.431
0.3836335879418909,0.349
0.35828603590423386,0.303
0.3240149784557363,0.355
0.3582413281906556,0.39
0.35352730275706545,0.379
0.354208604485854,0.271
0.38770293964401276,0.381
0.38130248415354484,0.398
0.34732958048492885,0.25
0.38665401287266354,0.382
0.3815361849078431,0.462
0.3320686537537373,0.273
0.37315529746260373,0.375
0.36428100076310715,0.362
0.38946674627347533,0.387
0.33934434752589426,0.377
0.35589947487596946,0.413
