Predicted,Actual
0.3440773289528417,0.376
0.3919146040190138,0.401
0.3737705459977522,0.431
0.38173817786394215,0.349
0.35473429116722593,0.303
0.3500725789107866,0.355
0.3864793371470203,0.39
0.3746065470899822,0.379
0.3029261555401988,0.271
0.38507820656815656,0.381
0.3798022712852509,0.398
0.29214812133213874,0.25
0.3857983081785174,0.382
0.3961348480783527,0.462
0.2534232057635644,0.273
0.3861666612706528,0.375
0.3939356904556306,0.362
0.39346267823877656,0.387
0.3604518553989368,0.377
0.3928414704951326,0.413
