Predicted,Actual
0.3062066666666667,0.376
0.38782666666666665,0.401
0.3827933333333333,0.431
0.3777066666666667,0.349
0.30886,0.303
0.33736,0.355
0.3679733333333333,0.39
0.31412,0.379
0.33064,0.271
0.3759733333333333,0.381
0.3918533333333333,0.398
0.3461666666666667,0.25
0.35968666666666665,0.382
0.37339333333333335,0.462
0.2749066666666667,0.273
0.3724133333333333,0.375
0.36662666666666666,0.362
0.39713999999999994,0.387
0.37322,0.377
0.38752,0.413
