Predicted,Actual
0.3561032965670164,0.376
0.35963224501635277,0.401
0.3577963028409343,0.431
0.38828926083544585,0.349
0.36651928260580596,0.303
0.34036844545711964,0.355
0.41596765719217504,0.39
0.37380958688968247,0.379
0.3400147488633937,0.271
0.4204140269559385,0.381
0.38471999293818515,0.398
0.29780160606381856,0.25
0.3570585114764637,0.382
0.4007364805398421,0.462
0.2302984869111701,0.273
0.3897639073964808,0.375
0.3557403275965677,0.362
0.39346018941470023,0.387
0.3477588978430475,0.377
0.3485948849202549,0.413
