Predicted,Actual
0.3729824263147909,0.376
0.3576182937997727,0.401
0.4069315915153679,0.431
0.37256419669435287,0.349
0.3716202025178867,0.303
0.3159832424067719,0.355
0.35131215709736713,0.39
0.36257470271123354,0.379
0.2990000072096179,0.271
0.3849031193504248,0.381
0.38168269917050984,0.398
0.33392142155255977,0.25
0.38269890081488506,0.382
0.37799997368634264,0.462
0.22262442371264995,0.273
0.38700905759085613,0.375
0.35709238967200657,0.362
0.39840569282739363,0.387
0.35338784895973524,0.377
0.40486428638790445,0.413
