Predicted,Actual
0.40978440629036395,0.376
0.37473888940194466,0.401
0.36807803208466405,0.431
0.3912297007854947,0.349
0.37028484741151557,0.303
0.2968272079773646,0.355
0.37101905201945845,0.39
0.36080195297622364,0.379
0.23911115223198287,0.271
0.3827844572085994,0.381
0.3177322764493056,0.398
0.24590989072026276,0.25
0.3716860951930896,0.382
0.3877726567621254,0.462
0.35792878329181904,0.273
0.39211361896089575,0.375
0.3716721580679858,0.362
0.383424046253558,0.387
0.3780328171320553,0.377
0.41468828244692235,0.413
