Predicted,Actual
0.3471755695531288,0.376
0.3629722777321082,0.401
0.375406151644384,0.431
0.38000830533328117,0.349
0.3076278306303797,0.303
0.3487542856908434,0.355
0.3648239239205572,0.39
0.3342688301520404,0.379
0.31091792912793814,0.271
0.3363643280820199,0.381
0.3735829127735326,0.398
0.37139957077285135,0.25
0.37852778639516244,0.382
0.3767659459443267,0.462
0.25567230369067645,0.273
0.37664596490543983,0.375
0.3568517368978358,0.362
0.3850521110380384,0.387
0.37492655783019746,0.377
0.3937152200383211,0.413
