Predicted,Actual
0.3622666666666667,0.376
0.3790266666666666,0.401
0.3899066666666667,0.431
0.38219333333333333,0.349
0.3614866666666667,0.303
0.3253733333333333,0.355
0.3723066666666667,0.39
0.36724666666666667,0.379
0.33965999999999996,0.271
0.37187333333333333,0.381
0.37738666666666665,0.398
0.3716,0.25
0.37353333333333333,0.382
0.37416,0.462
0.3403466666666667,0.273
0.37459333333333333,0.375
0.36732666666666663,0.362
0.3815266666666667,0.387
0.3455333333333333,0.377
0.37250666666666665,0.413
