Predicted,Actual
0.37538234441812696,0.376
0.3620210600508487,0.401
0.3610351900062663,0.431
0.3793534864762284,0.349
0.371444235856031,0.303
0.3194831700866364,0.355
0.3572341965345343,0.39
0.3706990289564722,0.379
0.3607367993759076,0.271
0.3763199844014915,0.381
0.38455406132564096,0.398
0.33864817786258056,0.25
0.3820569736243804,0.382
0.388742418154479,0.462
0.3230598341024148,0.273
0.3818104439635385,0.375
0.36076203815575925,0.362
0.3875267954042113,0.387
0.3417283882225226,0.377
0.35860734157654134,0.413
