Predicted,Actual
0.3675773869185817,0.376
0.3824953589351184,0.401
0.38069755119421783,0.431
0.3884719541013349,0.349
0.35160790074436804,0.303
0.3254514949673879,0.355
0.3736954245536285,0.39
0.3429063862442066,0.379
0.32933523902280337,0.271
0.3881506013029574,0.381
0.3869660445680506,0.398
0.3431302198722439,0.25
0.4032020691398311,0.382
0.391114269668079,0.462
0.30161546952158474,0.273
0.3738022437419343,0.375
0.37597790949136733,0.362
0.39096603058598606,0.387
0.32215250481600205,0.377
0.3836105644802751,0.413
